Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,9580,17433051.2,11790438.69
Sucursal Norte,Fanta,2020,1,2026,3963910.72,2853606.75
Sucursal Norte,Sprite,2020,1,8487,15043172.63,10461916.62
Sucursal Norte,7 Up,2020,1,927,1488157.36,1062547.71
Sucursal Norte,Pepsi,2020,1,8124,13906980.21,10997772.49
Sucursal Centro,Coca Cola,2020,1,10326,21990113.75,17013486.65
Sucursal Centro,Fanta,2020,1,2015,3722296.95,2753147.79
Sucursal Centro,Sprite,2020,1,8754,17601476.8,11941309.77
Sucursal Centro,7 Up,2020,1,936,1407746.68,871449.51
Sucursal Centro,Pepsi,2020,1,7791,12018194.37,7975679.04
Sucursal Sur,Coca Cola,2020,1,10834,22743981.57,17766727.59
Sucursal Sur,Fanta,2020,1,1939,3438042.57,2651832.88
Sucursal Sur,Sprite,2020,1,8701,16986097.09,10286194.0
Sucursal Sur,7 Up,2020,1,946,1500698.2,1010379.87
Sucursal Sur,Pepsi,2020,1,7652,13877826.83,9048244.69
Sucursal Norte,Coca Cola,2020,2,10178,22267817.92,16530030.55
Sucursal Norte,Fanta,2020,2,2100,4030789.24,2552424.9
Sucursal Norte,Sprite,2020,2,8221,15035778.17,11960777.52
Sucursal Norte,7 Up,2020,2,977,1476187.11,976746.69
Sucursal Norte,Pepsi,2020,2,8126,13706563.59,8714811.03
Sucursal Centro,Coca Cola,2020,2,10147,19598171.15,15593600.34
Sucursal Centro,Fanta,2020,2,1941,3617264.65,2800156.03
Sucursal Centro,Sprite,2020,2,8207,14102299.29,10192727.23
Sucursal Centro,7 Up,2020,2,934,1364543.03,974442.9
Sucursal Centro,Pepsi,2020,2,8685,14281772.74,10604820.39
Sucursal Sur,Coca Cola,2020,2,10198,19108121.03,12658778.84
Sucursal Sur,Fanta,2020,2,1913,3767643.28,2534529.41
Sucursal Sur,Sprite,2020,2,7231,13371312.07,10520597.98
Sucursal Sur,7 Up,2020,2,1049,1522436.81,1126124.34
Sucursal Sur,Pepsi,2020,2,7272,12037922.03,8703431.02
Sucursal Norte,Coca Cola,2020,3,9634,18638085.83,11768244.14
Sucursal Norte,Fanta,2020,3,2179,3888597.08,3052535.11
Sucursal Norte,Sprite,2020,3,7344,12736495.0,9482472.58
Sucursal Norte,7 Up,2020,3,1049,1651309.03,1000520.38
Sucursal Norte,Pepsi,2020,3,8444,13218770.07,9770870.17
Sucursal Centro,Coca Cola,2020,3,10091,21353078.83,15284125.04
Sucursal Centro,Fanta,2020,3,2128,3530691.71,2153619.74
Sucursal Centro,Sprite,2020,3,7618,14134596.88,9848489.4
Sucursal Centro,7 Up,2020,3,1026,1584455.89,1081200.41
