Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,4884,13213087.37,9312236.29
Sucursal Norte,Merlot,2020,1,3948,10070996.57,7249458.62
Sucursal Norte,Pinot Noir,2020,1,2852,10109800.45,7210032.59
Sucursal Norte,Chardonnay,2020,1,4147,10474326.59,7939433.8
Sucursal Norte,Sauvignon Blanc,2020,1,3161,9028432.11,6725602.38
Sucursal Centro,Cabernet Sauvignon,2020,1,4674,14120655.55,9446173.41
Sucursal Centro,Merlot,2020,1,3951,10008045.08,6056053.43
Sucursal Centro,Pinot Noir,2020,1,2863,9402571.47,6050151.18
Sucursal Centro,Chardonnay,2020,1,4370,11547499.8,7999159.52
Sucursal Centro,Sauvignon Blanc,2020,1,3821,8973486.62,6811607.1
Sucursal Sur,Cabernet Sauvignon,2020,1,5141,14158880.22,11245033.99
Sucursal Sur,Merlot,2020,1,4211,9881660.64,6909194.78
Sucursal Sur,Pinot Noir,2020,1,3231,11202303.26,7055970.13
Sucursal Sur,Chardonnay,2020,1,4217,11040329.78,7489699.91
Sucursal Sur,Sauvignon Blanc,2020,1,3175,8949796.93,5797304.24
Sucursal Norte,Cabernet Sauvignon,2020,2,4719,14938318.67,9600704.94
Sucursal Norte,Merlot,2020,2,4047,10262794.99,6322677.48
Sucursal Norte,Pinot Noir,2020,2,3024,11093035.02,8355268.09
Sucursal Norte,Chardonnay,2020,2,4918,14660018.11,11354723.94
Sucursal Norte,Sauvignon Blanc,2020,2,3349,8570140.58,6071898.14
Sucursal Centro,Cabernet Sauvignon,2020,2,4745,13854815.83,8380488.4
Sucursal Centro,Merlot,2020,2,4182,11272790.52,6838013.11
Sucursal Centro,Pinot Noir,2020,2,2730,9317713.43,6060163.28
Sucursal Centro,Chardonnay,2020,2,4359,11336036.54,8436297.45
Sucursal Centro,Sauvignon Blanc,2020,2,3680,10256504.43,6704093.59
Sucursal Sur,Cabernet Sauvignon,2020,2,5098,16238094.09,11838989.44
Sucursal Sur,Merlot,2020,2,4070,10694974.61,8334265.26
Sucursal Sur,Pinot Noir,2020,2,3299,12684886.38,9649588.03
Sucursal Sur,Chardonnay,2020,2,4170,12163456.32,8856825.2
Sucursal Sur,Sauvignon Blanc,2020,2,3788,9622850.87,5822895.81
Sucursal Norte,Cabernet Sauvignon,2020,3,4894,13300109.73,9381741.86
Sucursal Norte,Merlot,2020,3,3863,9200560.22,6093658.14
Sucursal Norte,Pinot Noir,2020,3,3042,11287885.71,7560643.3
Sucursal Norte,Chardonnay,2020,3,4580,11932452.6,8536363.22
Sucursal Norte,Sauvignon Blanc,2020,3,3513,9220952.21,6914433.24
Sucursal Centro,Cabernet Sauvignon,2020,3,4887,15631676.45,11129783.87
Sucursal Centro,Merlot,2020,3,4191,11398181.25,8376107.35
Sucursal Centro,Pinot Noir,2020,3,2766,10288015.01,6331564.49
Sucursal Centro,Chardonnay,2020,3,4907,13766826.92,9548621.47
