Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,5450,14997051.91,10364501.52
Sucursal Norte,Merlot,2020,1,3776,10322664.91,7449476.42
Sucursal Norte,Pinot Noir,2020,1,3001,10927582.82,7311039.48
Sucursal Norte,Chardonnay,2020,1,4288,11238121.51,8198365.17
Sucursal Norte,Sauvignon Blanc,2020,1,3183,8123935.79,5460642.24
Sucursal Centro,Cabernet Sauvignon,2020,1,5338,16483538.06,10548246.35
Sucursal Centro,Merlot,2020,1,3907,9295770.53,6063195.24
Sucursal Centro,Pinot Noir,2020,1,2894,10573168.27,7279780.55
Sucursal Centro,Chardonnay,2020,1,4431,12695533.3,8169860.02
Sucursal Centro,Sauvignon Blanc,2020,1,3618,9162178.45,7206533.12
Sucursal Sur,Cabernet Sauvignon,2020,1,5027,15402259.49,10932813.35
Sucursal Sur,Merlot,2020,1,4235,10123429.37,7338796.27
Sucursal Sur,Pinot Noir,2020,1,2879,9876703.07,5990934.43
Sucursal Sur,Chardonnay,2020,1,4850,14248216.86,10294453.4
Sucursal Sur,Sauvignon Blanc,2020,1,3254,7624676.46,5711006.11
Sucursal Norte,Cabernet Sauvignon,2020,2,5154,16576613.37,10979416.49
Sucursal Norte,Merlot,2020,2,3724,9861117.99,6948996.14
Sucursal Norte,Pinot Noir,2020,2,3030,11597087.9,8816264.15
Sucursal Norte,Chardonnay,2020,2,4813,12349037.08,9246555.58
Sucursal Norte,Sauvignon Blanc,2020,2,3466,8179050.84,6412537.35
Sucursal Centro,Cabernet Sauvignon,2020,2,4721,15233126.33,11645892.16
Sucursal Centro,Merlot,2020,2,3801,10066552.33,7221398.88
Sucursal Centro,Pinot Noir,2020,2,3175,11901591.28,9133247.28
Sucursal Centro,Chardonnay,2020,2,4558,12361225.29,7500626.61
Sucursal Centro,Sauvignon Blanc,2020,2,3360,8360601.92,6138741.62
Sucursal Sur,Cabernet Sauvignon,2020,2,5090,15375012.01,12283378.97
Sucursal Sur,Merlot,2020,2,4148,10373188.57,8099520.96
Sucursal Sur,Pinot Noir,2020,2,2952,10642266.0,7062898.36
Sucursal Sur,Chardonnay,2020,2,4192,11504339.95,7963454.38
