Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Cabernet Sauvignon,2020,1,4577,12801381.66,8001954.19
Sucursal Norte,Merlot,2020,1,3835,8795119.09,6020118.0
Sucursal Norte,Pinot Noir,2020,1,3237,10754628.17,7499667.89
Sucursal Norte,Chardonnay,2020,1,4405,12965953.22,7842998.06
Sucursal Norte,Sauvignon Blanc,2020,1,3180,7790311.85,5474702.57
Sucursal Centro,Cabernet Sauvignon,2020,1,5136,14903369.2,10465158.89
Sucursal Centro,Merlot,2020,1,4164,11256414.28,8066541.27
Sucursal Centro,Pinot Noir,2020,1,2752,9472053.67,5850674.6
Sucursal Centro,Chardonnay,2020,1,4469,12153479.34,8006357.04
Sucursal Centro,Sauvignon Blanc,2020,1,3255,8829800.2,5776026.75
Sucursal Sur,Cabernet Sauvignon,2020,1,5369,16420500.19,12833173.79
Sucursal Sur,Merlot,2020,1,4395,10372956.08,6254584.51
Sucursal Sur,Pinot Noir,2020,1,2750,9703697.07,5999892.63
Sucursal Sur,Chardonnay,2020,1,4154,10931945.35,6833875.98
Sucursal Sur,Sauvignon Blanc,2020,1,3565,9756295.04,7657076.96
Sucursal Norte,Cabernet Sauvignon,2020,2,4795,14243841.76,11051786.35
Sucursal Norte,Merlot,2020,2,4089,10917615.25,6735281.59
Sucursal Norte,Pinot Noir,2020,2,2926,9919556.03,7533048.18
Sucursal Norte,Chardonnay,2020,2,4755,12791349.83,7803316.63
Sucursal Norte,Sauvignon Blanc,2020,2,3221,8882196.81,6749246.16
Sucursal Centro,Cabernet Sauvignon,2020,2,5109,15128460.73,11032467.91
Sucursal Centro,Merlot,2020,2,3613,9365113.74,6486310.29
Sucursal Centro,Pinot Noir,2020,2,3068,10705060.76,6653240.45
Sucursal Centro,Chardonnay,2020,2,4311,13065507.88,8857294.6
Sucursal Centro,Sauvignon Blanc,2020,2,3351,9154741.29,6577085.11
Sucursal Sur,Cabernet Sauvignon,2020,2,4619,13178889.73,8447474.96
Sucursal Sur,Merlot,2020,2,4204,10308937.95,6631979.02
Sucursal Sur,Pinot Noir,2020,2,2796,9741537.53,5980010.92
Sucursal Sur,Chardonnay,2020,2,4616,13976360.39,8637160.05
Sucursal Sur,Sauvignon Blanc,2020,2,3399,8203340.37,6090182.81
Sucursal Norte,Cabernet Sauvignon,2020,3,4796,14377789.83,9468647.03
Sucursal Norte,Merlot,2020,3,4034,9674959.29,6303551.11
Sucursal Norte,Pinot Noir,2020,3,2748,9857448.02,7315782.38
Sucursal Norte,Chardonnay,2020,3,4224,12128239.35,8725382.36
Sucursal Norte,Sauvignon Blanc,2020,3,3694,10387170.09,8200014.54
Sucursal Centro,Cabernet Sauvignon,2020,3,4512,12259470.6,9402378.04
Sucursal Centro,Merlot,2020,3,3634,9514341.87,7487574.95
Sucursal Centro,Pinot Noir,2020,3,3009,10800501.46,6547421.57
Sucursal Centro,Chardonnay,2020,3,4332,13125264.8,8903031.38
Sucursal Centro,Sauvignon Blanc,2020,3,3566,8910139.56,5757273.34
Sucursal Sur,Cabernet Sauvignon,2020,3,5378,15806065.65,11959803.7
Sucursal Sur,Merlot,2020,3,3977,9962970.44,6774502.99
Sucursal Sur,Pinot Noir,2020,3,3123,10006559.83,7367731.19
