temperatura,ventas
36,699.0
30,639.0
39,791.0
36,783.0
30,671.0
34,781.0
30,618.0
34,700.0
24,601.0
25,510.0
33,745.0
27,639.0
24,521.0
25,592.0
25,530.0
29,645.0
27,499.0
38,798.0
35,688.0
29,587.0
39,835.0
34,718.0
36,716.0
26,521.0
31,751.0
36,803.0
27,611.0
34,770.0
34,693.0
24,583.0
31,605.0
24,523.0
25,496.0
36,744.0
36,744.0
22,577.0
30,611.0
30,587.0
38,751.0
39,876.0
34,731.0
39,822.0
29,670.0
28,637.0
22,495.0
30,684.0
31,641.0
26,515.0
27,641.0
36,821.0
31,597.0
25,541.0
25,610.0
34,708.0
33,768.0
23,508.0
26,548.0
34,803.0
23,459.0
25,543.0
37,727.0
20,512.0
39,796.0
26,459.0
39,784.0
31,628.0
28,574.0
27,637.0
22,531.0
39,742.0
39,892.0
34,654.0
38,840.0
21,522.0
28,519.0
30,708.0
36,808.0
21,414.0
39,812.0
20,436.0
21,427.0
27,564.0
34,739.0
20,469.0
36,775.0
21,493.0
32,704.0
33,698.0
27,595.0
22,453.0
33,721.0
35,734.0
31,748.0
27,592.0
36,765.0
20,461.0
24,560.0
37,851.0
32,718.0
30,575.0
