Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,9930,18489527.72,12861600.34
Sucursal Norte,Fanta,2020,1,1945,3474578.31,2521319.69
Sucursal Norte,Sprite,2020,1,7205,13604289.65,9972199.75
Sucursal Norte,7 Up,2020,1,1009,1514611.12,1053251.58
Sucursal Norte,Pepsi,2020,1,8678,13337409.12,8053428.83
Sucursal Centro,Coca Cola,2020,1,10111,21506294.45,14019883.53
Sucursal Centro,Fanta,2020,1,1891,3318976.33,2301940.67
Sucursal Centro,Sprite,2020,1,7745,15727519.24,9957915.96
Sucursal Centro,7 Up,2020,1,1047,1721233.58,1225715.53
Sucursal Centro,Pepsi,2020,1,7312,11245002.23,7672635.89
Sucursal Sur,Coca Cola,2020,1,9223,17139208.7,10464078.33
Sucursal Sur,Fanta,2020,1,1975,3827279.49,2331992.01
Sucursal Sur,Sprite,2020,1,8391,16965294.03,12968847.79
Sucursal Sur,7 Up,2020,1,965,1392356.67,1075458.26
Sucursal Sur,Pepsi,2020,1,8504,15719890.87,9914266.39
Sucursal Norte,Coca Cola,2020,2,9766,18309558.14,12074311.13
Sucursal Norte,Fanta,2020,2,2039,3313503.24,1992870.14
Sucursal Norte,Sprite,2020,2,8009,16164871.52,11487992.75
Sucursal Norte,7 Up,2020,2,912,1260104.94,999379.57
Sucursal Norte,Pepsi,2020,2,8341,14570323.5,10891316.72
Sucursal Centro,Coca Cola,2020,2,10789,23330586.02,17773238.73
Sucursal Centro,Fanta,2020,2,2052,3559866.7,2790338.16
Sucursal Centro,Sprite,2020,2,7539,14857954.08,9938352.47
Sucursal Centro,7 Up,2020,2,985,1560018.69,1178132.69
Sucursal Centro,Pepsi,2020,2,8729,13982016.64,10404059.41
Sucursal Sur,Coca Cola,2020,2,9761,18276299.37,12827764.29
Sucursal Sur,Fanta,2020,2,2026,3977925.42,3079157.71
Sucursal Sur,Sprite,2020,2,8044,15054226.65,11440689.17
Sucursal Sur,7 Up,2020,2,1041,1540269.49,1194785.26
Sucursal Sur,Pepsi,2020,2,7662,11997833.97,8630974.93
Sucursal Norte,Coca Cola,2020,3,9940,21117008.76,16528629.53
Sucursal Norte,Fanta,2020,3,1885,3698931.9,2568355.32
Sucursal Norte,Sprite,2020,3,7296,15012657.79,10278536.42
Sucursal Norte,7 Up,2020,3,1001,1471257.95,903006.57
Sucursal Norte,Pepsi,2020,3,8508,13341608.65,9886168.31
Sucursal Centro,Coca Cola,2020,3,9886,18766425.57,13648562.26
Sucursal Centro,Fanta,2020,3,2128,3947707.12,2956571.05
Sucursal Centro,Sprite,2020,3,7935,14217187.03,10797768.62
Sucursal Centro,7 Up,2020,3,965,1313668.33,1030921.44
Sucursal Centro,Pepsi,2020,3,8277,15421102.89,12116460.72
Sucursal Sur,Coca Cola,2020,3,10602,22322705.88,14336558.64
Sucursal Sur,Fanta,2020,3,1921,3648736.4,2632313.69
Sucursal Sur,Sprite,2020,3,8793,15208405.08,10389062.28
Sucursal Sur,7 Up,2020,3,961,1400925.93,1042153.8
Sucursal Sur,Pepsi,2020,3,7786,13104702.37,8336426.48
Sucursal Norte,Coca Cola,2020,4,10195,22139905.6,16778210.94
Sucursal Norte,Fanta,2020,4,2015,3623974.12,2693759.06
Sucursal Norte,Sprite,2020,4,7504,13810593.21,9856147.48
Sucursal Norte,7 Up,2020,4,1034,1599643.31,1226461.06
Sucursal Norte,Pepsi,2020,4,8721,15343351.03,11904417.08
Sucursal Centro,Coca Cola,2020,4,9091,19057161.58,14000186.63
Sucursal Centro,Fanta,2020,4,1844,3098277.99,2307279.11
