Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,10947,22912144.61,17189632.81
Sucursal Norte,Fanta,2020,1,2094,3651040.61,2918631.51
Sucursal Norte,Sprite,2020,1,7433,14950002.59,11473715.85
Sucursal Norte,7 Up,2020,1,937,1507871.89,1023344.2
Sucursal Norte,Pepsi,2020,1,7342,12741606.83,7874711.01
Sucursal Centro,Coca Cola,2020,1,9904,20153370.0,13058911.88
Sucursal Centro,Fanta,2020,1,2003,3357366.46,2083304.61
Sucursal Centro,Sprite,2020,1,7281,13580973.83,10799669.67
Sucursal Centro,7 Up,2020,1,997,1389362.21,860559.26
Sucursal Centro,Pepsi,2020,1,7668,12706263.39,9683981.64
Sucursal Sur,Coca Cola,2020,1,9573,20422246.07,12662124.13
Sucursal Sur,Fanta,2020,1,1882,3253055.06,1971550.18
Sucursal Sur,Sprite,2020,1,7672,14808946.93,9544723.09
Sucursal Sur,7 Up,2020,1,973,1569035.14,1139178.49
Sucursal Sur,Pepsi,2020,1,7521,13114182.84,8766629.79
Sucursal Norte,Coca Cola,2020,2,10817,21704020.83,16213476.07
Sucursal Norte,Fanta,2020,2,1863,3442102.48,2443393.75
Sucursal Norte,Sprite,2020,2,7662,15977605.33,10276478.02
Sucursal Norte,7 Up,2020,2,935,1295107.21,1016498.47
Sucursal Norte,Pepsi,2020,2,8013,14421064.13,9383474.66
Sucursal Centro,Coca Cola,2020,2,10667,22130041.69,17512905.97
Sucursal Centro,Fanta,2020,2,2054,3932452.36,3093117.85
Sucursal Centro,Sprite,2020,2,7855,14412264.94,10144761.33
Sucursal Centro,7 Up,2020,2,952,1316045.44,1002443.18
Sucursal Centro,Pepsi,2020,2,7449,12509189.03,8318805.28
Sucursal Sur,Coca Cola,2020,2,10769,19932199.2,15751361.09
Sucursal Sur,Fanta,2020,2,2188,4304758.88,2953320.43
Sucursal Sur,Sprite,2020,2,8449,16577387.33,11499230.47
Sucursal Sur,7 Up,2020,2,1006,1617185.18,1057326.08
Sucursal Sur,Pepsi,2020,2,7473,12140916.83,8267702.65
Sucursal Norte,Coca Cola,2020,3,10004,18203257.78,11713356.46
Sucursal Norte,Fanta,2020,3,2183,3885245.1,2535956.54
Sucursal Norte,Sprite,2020,3,7565,13302064.53,10070258.62
Sucursal Norte,7 Up,2020,3,1064,1509972.05,1056403.63
Sucursal Norte,Pepsi,2020,3,7350,12166041.15,7498602.38
Sucursal Centro,Coca Cola,2020,3,10075,20854746.1,14916377.15
Sucursal Centro,Fanta,2020,3,2165,3609993.28,2679102.24
Sucursal Centro,Sprite,2020,3,8748,15894042.14,11211633.97
Sucursal Centro,7 Up,2020,3,985,1535976.83,1055082.93
Sucursal Centro,Pepsi,2020,3,7664,14250499.21,8567470.57
Sucursal Sur,Coca Cola,2020,3,10192,19810250.96,15262719.27
Sucursal Sur,Fanta,2020,3,1824,3568513.49,2460583.54
Sucursal Sur,Sprite,2020,3,8187,14602263.12,10481074.09
Sucursal Sur,7 Up,2020,3,1066,1703033.67,1086367.59
Sucursal Sur,Pepsi,2020,3,7373,11940264.32,7281055.68
Sucursal Norte,Coca Cola,2020,4,10774,21028132.89,15954404.36
Sucursal Norte,Fanta,2020,4,1976,3343346.9,2329636.84
Sucursal Norte,Sprite,2020,4,8783,17350008.81,13855304.8
Sucursal Norte,7 Up,2020,4,918,1375426.91,942417.83
Sucursal Norte,Pepsi,2020,4,8600,14722806.54,9579398.04
Sucursal Centro,Coca Cola,2020,4,9354,19429664.12,11978616.14
Sucursal Centro,Fanta,2020,4,1952,3399395.18,2656093.57
Sucursal Centro,Sprite,2020,4,7632,13058725.56,8103057.22
Sucursal Centro,7 Up,2020,4,1058,1622575.01,1015064.34
Sucursal Centro,Pepsi,2020,4,7734,12349670.04,9352079.1
Sucursal Sur,Coca Cola,2020,4,10118,21634126.72,16438392.97
Sucursal Sur,Fanta,2020,4,2100,3956300.54,2707854.91
Sucursal Sur,Sprite,2020,4,7251,12512544.0,8319427.67
Sucursal Sur,7 Up,2020,4,1087,1560789.9,1172819.01
Sucursal Sur,Pepsi,2020,4,7672,14173356.54,9475037.03
Sucursal Norte,Coca Cola,2020,5,9410,19862469.63,13781765.63
Sucursal Norte,Fanta,2020,5,1810,3548584.86,2651012.34
Sucursal Norte,Sprite,2020,5,8116,14399257.87,9965622.92
Sucursal Norte,7 Up,2020,5,1029,1426617.0,919624.73
Sucursal Norte,Pepsi,2020,5,8499,15314612.34,10636986.02
Sucursal Centro,Coca Cola,2020,5,9017,16700629.86,10247165.64
Sucursal Centro,Fanta,2020,5,2086,3622461.85,2290778.11
Sucursal Centro,Sprite,2020,5,7992,16544393.94,13220401.26
Sucursal Centro,7 Up,2020,5,1079,1710994.21,1077667.28
Sucursal Centro,Pepsi,2020,5,8505,13895567.41,9426954.32
Sucursal Sur,Coca Cola,2020,5,9060,18505268.88,13270991.68
Sucursal Sur,Fanta,2020,5,1838,3108207.14,2103210.77
Sucursal Sur,Sprite,2020,5,7841,15421815.24,11605637.07
Sucursal Sur,7 Up,2020,5,912,1373701.85,938620.48
Sucursal Sur,Pepsi,2020,5,7427,12370186.59,9555569.44
Sucursal Norte,Coca Cola,2020,6,10616,21113928.79,13589035.85
Sucursal Norte,Fanta,2020,6,1860,3252521.53,2204410.9
Sucursal Norte,Sprite,2020,6,8369,16684619.94,11279984.7
Sucursal Norte,7 Up,2020,6,1041,1523430.17,918636.51
Sucursal Norte,Pepsi,2020,6,7987,13981371.42,8573093.92
Sucursal Centro,Coca Cola,2020,6,9665,20085570.66,14960322.21
Sucursal Centro,Fanta,2020,6,1825,3538804.28,2417380.93
Sucursal Centro,Sprite,2020,6,8446,16954956.0,10461938.18
Sucursal Centro,7 Up,2020,6,987,1579052.91,1199683.1
Sucursal Centro,Pepsi,2020,6,8195,13223786.57,8806632.8
Sucursal Sur,Coca Cola,2020,6,9184,16574305.23,12112111.76
Sucursal Sur,Fanta,2020,6,1982,3868043.51,2830161.7
Sucursal Sur,Sprite,2020,6,7329,12841957.54,9666890.42
Sucursal Sur,7 Up,2020,6,955,1332365.35,856853.91
Sucursal Sur,Pepsi,2020,6,8657,14851241.37,9484414.88
Sucursal Norte,Coca Cola,2020,7,10927,19959152.2,13994621.52
Sucursal Norte,Fanta,2020,7,1949,3261593.5,2050890.08
Sucursal Norte,Sprite,2020,7,7958,15417542.67,11786241.5
Sucursal Norte,7 Up,2020,7,946,1547906.86,1079109.81
Sucursal Norte,Pepsi,2020,7,8023,14830457.93,8916822.23
Sucursal Centro,Coca Cola,2020,7,10326,19897587.02,12762380.38
Sucursal Centro,Fanta,2020,7,2088,3884725.35,2398852.34
Sucursal Centro,Sprite,2020,7,8678,14895052.07,11041903.62
Sucursal Centro,7 Up,2020,7,909,1299177.45,1006724.91
Sucursal Centro,Pepsi,2020,7,7659,14289216.78,9513632.51
Sucursal Sur,Coca Cola,2020,7,10772,21983303.4,13912365.46
Sucursal Sur,Fanta,2020,7,1978,3799749.29,2973648.17
Sucursal Sur,Sprite,2020,7,7413,14399898.92,10556830.64
Sucursal Sur,7 Up,2020,7,1048,1673673.75,1290245.23
Sucursal Sur,Pepsi,2020,7,8186,15096944.39,11539492.27
Sucursal Norte,Coca Cola,2020,8,10170,20482873.43,12930137.84
Sucursal Norte,Fanta,2020,8,2157,3758648.39,2778867.31
Sucursal Norte,Sprite,2020,8,7940,16446694.97,11775095.7
Sucursal Norte,7 Up,2020,8,1033,1595926.94,1182419.39
Sucursal Norte,Pepsi,2020,8,7538,13119647.81,8128503.39
Sucursal Centro,Coca Cola,2020,8,9370,19942357.08,12086678.32
Sucursal Centro,Fanta,2020,8,1833,3018901.14,1844464.44
Sucursal Centro,Sprite,2020,8,7527,13205766.34,8604437.91
Sucursal Centro,7 Up,2020,8,962,1573289.85,1086806.84
Sucursal Centro,Pepsi,2020,8,7290,13407159.44,9810064.08
Sucursal Sur,Coca Cola,2020,8,9234,17842453.95,11506005.44
Sucursal Sur,Fanta,2020,8,1872,3644086.84,2615841.55
Sucursal Sur,Sprite,2020,8,7924,14768949.85,10133006.34
Sucursal Sur,7 Up,2020,8,953,1528258.06,1067459.35
Sucursal Sur,Pepsi,2020,8,7237,11237789.66,7342142.75
Sucursal Norte,Coca Cola,2020,9,10160,22239784.96,14579556.3
Sucursal Norte,Fanta,2020,9,2195,3966941.36,2538298.78
Sucursal Norte,Sprite,2020,9,7883,15025328.45,9147404.66
Sucursal Norte,7 Up,2020,9,1061,1737841.29,1384320.46
Sucursal Norte,Pepsi,2020,9,7942,12876041.1,9383201.44
Sucursal Centro,Coca Cola,2020,9,9431,19819789.21,15043642.82
Sucursal Centro,Fanta,2020,9,2066,3987066.25,2663051.28
