Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,9820,18243829.24,12424267.83
Sucursal Norte,Fanta,2020,1,1920,3312779.24,2419256.56
Sucursal Norte,Sprite,2020,1,8390,17288347.92,12366997.16
Sucursal Norte,7 Up,2020,1,919,1242597.82,911038.39
Sucursal Norte,Pepsi,2020,1,7297,13247405.89,8895960.14
Sucursal Centro,Coca Cola,2020,1,9787,19521716.58,12657143.14
Sucursal Centro,Fanta,2020,1,2045,3743730.2,2909322.15
Sucursal Centro,Sprite,2020,1,7926,16314415.56,11389339.48
Sucursal Centro,7 Up,2020,1,1077,1462724.46,889332.92
Sucursal Centro,Pepsi,2020,1,8563,15577830.92,9840976.76
Sucursal Sur,Coca Cola,2020,1,10693,21775950.46,14286949.7
Sucursal Sur,Fanta,2020,1,1930,3534789.13,2435948.97
Sucursal Sur,Sprite,2020,1,7758,14341524.64,10016155.41
Sucursal Sur,7 Up,2020,1,991,1418219.16,1002732.06
Sucursal Sur,Pepsi,2020,1,7789,13173173.72,8943347.36
Sucursal Norte,Coca Cola,2020,2,10746,19433665.91,12971450.49
Sucursal Norte,Fanta,2020,2,2055,3473156.72,2384645.75
Sucursal Norte,Sprite,2020,2,8655,15027169.05,9920878.27
Sucursal Norte,7 Up,2020,2,993,1449069.8,1149238.14
Sucursal Norte,Pepsi,2020,2,7633,14032797.13,9331382.68
Sucursal Centro,Coca Cola,2020,2,9030,18380741.02,13508232.91
Sucursal Centro,Fanta,2020,2,2109,3863769.12,2656448.73
Sucursal Centro,Sprite,2020,2,8085,14094478.58,10978284.94
Sucursal Centro,7 Up,2020,2,911,1274034.37,877449.41
Sucursal Centro,Pepsi,2020,2,8212,14746376.55,10136200.39
Sucursal Sur,Coca Cola,2020,2,10342,22685810.29,15126537.14
Sucursal Sur,Fanta,2020,2,2168,3705011.69,2496292.25
Sucursal Sur,Sprite,2020,2,7563,14208377.12,11087882.34
Sucursal Sur,7 Up,2020,2,1053,1706171.6,1172666.35
Sucursal Sur,Pepsi,2020,2,7469,13699919.63,10552256.21
Sucursal Norte,Coca Cola,2020,3,10013,20008631.43,15065435.6
Sucursal Norte,Fanta,2020,3,2077,3494112.7,2635365.5
Sucursal Norte,Sprite,2020,3,7565,15364952.37,12204241.4
Sucursal Norte,7 Up,2020,3,970,1579369.91,1189323.65
Sucursal Norte,Pepsi,2020,3,8396,13377689.19,10097371.37
Sucursal Centro,Coca Cola,2020,3,9587,20321025.9,16089732.5
Sucursal Centro,Fanta,2020,3,2160,4143808.67,2931574.4
Sucursal Centro,Sprite,2020,3,8067,15502323.19,12031690.49
Sucursal Centro,7 Up,2020,3,1089,1725800.88,1214627.5
Sucursal Centro,Pepsi,2020,3,8460,15722347.93,11199185.56
Sucursal Sur,Coca Cola,2020,3,9085,19895071.82,14561514.6
Sucursal Sur,Fanta,2020,3,2021,3958042.99,2474684.08
Sucursal Sur,Sprite,2020,3,8534,17246673.89,13459403.6
Sucursal Sur,7 Up,2020,3,1076,1567989.62,950946.48
Sucursal Sur,Pepsi,2020,3,8057,12857075.6,8668933.68
Sucursal Norte,Coca Cola,2020,4,10672,21237935.7,15431800.1
Sucursal Norte,Fanta,2020,4,2108,3881983.34,2918731.44
Sucursal Norte,Sprite,2020,4,7914,16050818.63,9733657.21
Sucursal Norte,7 Up,2020,4,1011,1660000.64,1104765.7
Sucursal Norte,Pepsi,2020,4,7501,12234770.33,8357215.75
Sucursal Centro,Coca Cola,2020,4,9867,19108798.48,13357971.99
Sucursal Centro,Fanta,2020,4,2012,3897636.85,3093527.79
Sucursal Centro,Sprite,2020,4,8144,16805974.31,11512371.43
Sucursal Centro,7 Up,2020,4,1087,1771248.08,1416463.1
Sucursal Centro,Pepsi,2020,4,8006,13299128.32,9951357.22
Sucursal Sur,Coca Cola,2020,4,9739,17910633.25,12659347.54
Sucursal Sur,Fanta,2020,4,1994,3418482.85,2446375.7
Sucursal Sur,Sprite,2020,4,8643,16132154.99,10589088.66
Sucursal Sur,7 Up,2020,4,985,1603580.21,1107257.83
Sucursal Sur,Pepsi,2020,4,8001,13570811.98,9109057.35
Sucursal Norte,Coca Cola,2020,5,9541,19117979.18,13405485.21
Sucursal Norte,Fanta,2020,5,1934,3363404.38,2361545.69
Sucursal Norte,Sprite,2020,5,8762,15226927.35,9778064.0
Sucursal Norte,7 Up,2020,5,1007,1614539.09,1073056.59
Sucursal Norte,Pepsi,2020,5,7799,13569054.14,9574986.91
Sucursal Centro,Coca Cola,2020,5,9235,16944382.27,10733055.04
Sucursal Centro,Fanta,2020,5,1926,3597743.94,2562252.78
Sucursal Centro,Sprite,2020,5,8057,14558080.7,9621093.67
Sucursal Centro,7 Up,2020,5,1010,1547342.54,1083842.01
Sucursal Centro,Pepsi,2020,5,7409,13499112.34,9611377.81
Sucursal Sur,Coca Cola,2020,5,9568,20392720.94,14872017.24
Sucursal Sur,Fanta,2020,5,2073,3553920.28,2757125.27
Sucursal Sur,Sprite,2020,5,7584,14290352.85,10032697.32
Sucursal Sur,7 Up,2020,5,934,1391507.28,1063972.7
Sucursal Sur,Pepsi,2020,5,7633,11686531.18,7106338.4
Sucursal Norte,Coca Cola,2020,6,9707,20675334.55,13655400.23
Sucursal Norte,Fanta,2020,6,1865,3081843.78,2055247.17
Sucursal Norte,Sprite,2020,6,8214,17100713.05,12311199.82
Sucursal Norte,7 Up,2020,6,1077,1591318.64,1080893.5
Sucursal Norte,Pepsi,2020,6,8463,15165015.79,11776889.23
Sucursal Centro,Coca Cola,2020,6,10130,21693828.91,17033816.27
Sucursal Centro,Fanta,2020,6,1904,3313576.79,2450158.56
Sucursal Centro,Sprite,2020,6,8406,16930506.86,13239361.42
Sucursal Centro,7 Up,2020,6,936,1520169.52,956404.66
Sucursal Centro,Pepsi,2020,6,8112,14928706.95,9891478.04
Sucursal Sur,Coca Cola,2020,6,9557,18202235.13,13011475.59
Sucursal Sur,Fanta,2020,6,2018,3568789.31,2185677.52
Sucursal Sur,Sprite,2020,6,8381,17107263.1,11320737.57
